w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
w,b,b,b,b,b,b,b,b,b,b,b,b,k,b,b,b,b,b,b,b,b,b,b,w
w,b,b,b,b,b,w,k,w,b,b,b,b,w,w,b,b,b,b,b,b,b,d,d,w
w,b,b,b,b,w,w,w,w,w,b,b,b,b,b,b,b,b,b,b,b,b,d,d,w
w,b,b,w,b,b,b,w,w,b,b,b,b,b,b,w,b,b,b,b,b,b,w,w,w
w,b,b,b,w,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,w,b,b,b,w
w,b,b,k,w,b,b,b,b,b,b,b,b,b,w,b,b,b,b,b,b,b,b,b,w
w,b,b,w,w,w,b,w,w,b,b,b,b,w,w,b,b,b,b,w,b,b,b,b,w
w,b,b,w,w,b,b,w,w,w,b,b,w,w,w,b,b,b,b,b,b,b,b,b,w
w,b,b,w,w,w,b,b,b,b,b,b,b,w,b,b,b,b,b,b,w,b,b,b,w
w,b,b,b,b,b,b,b,b,b,b,w,b,b,b,b,s,b,b,b,w,b,b,b,w
w,b,b,b,b,w,w,w,b,w,b,w,b,b,b,b,w,b,w,b,b,b,w,w,w
w,b,b,b,w,w,w,w,b,b,b,w,b,b,b,b,w,k,w,b,b,b,b,b,w
w,b,b,b,w,w,w,w,s,s,s,w,b,b,b,b,w,w,w,s,s,s,b,b,w
w,b,b,w,w,w,w,w,b,b,b,w,b,b,b,b,b,b,b,b,b,b,b,b,w
w,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,w
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
